
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   10:34:43  APR 04, 2023 CP=      0.422

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.18600E+06   0.00000       0.00000      0.344109E-005  0.00000     
   0.18647E+06   0.00000       0.00000     -0.489384E-005  0.00000     
   0.18693E+06   0.00000       0.00000      0.751503E-005  0.00000     
   0.18740E+06   0.00000       0.00000     -0.253588E-005  0.00000     
   0.18787E+06   0.00000       0.00000     -0.694366E-005  0.00000     
   0.18833E+06   0.00000       0.00000      0.713266E-005  0.00000     
   0.18880E+06   0.00000       0.00000     -0.245380E-005  0.00000     
   0.18927E+06   0.00000       0.00000     -0.124640E-004  0.00000     
   0.18973E+06   0.00000       0.00000     -0.210209E-004  0.00000     
   0.19020E+06   0.00000       0.00000     -0.238621E-005  0.00000     
   0.19067E+06   0.00000       0.00000     -0.573051E-005  0.00000     
   0.19113E+06   0.00000       0.00000     -0.402530E-006  0.00000     
   0.19160E+06   0.00000       0.00000      0.345201E-005  0.00000     
   0.19207E+06   0.00000       0.00000      0.112244E-005  0.00000     
   0.19253E+06   0.00000       0.00000      0.176278E-005  0.00000     
   0.19300E+06   0.00000       0.00000      0.979962E-005  0.00000     
   0.19347E+06   0.00000       0.00000     -0.110494E-004  0.00000     
   0.19393E+06   0.00000       0.00000     -0.223742E-004  0.00000     
   0.19440E+06   0.00000       0.00000     -0.392958E-005  0.00000     
   0.19487E+06   0.00000       0.00000      0.998909E-004  0.00000     
   0.19533E+06   0.00000       0.00000      0.909907E-005  0.00000     
   0.19580E+06   0.00000       0.00000     -0.137522E-004  0.00000     
   0.19627E+06   0.00000       0.00000      0.178276E-003  0.00000     
   0.19673E+06   0.00000       0.00000     -0.157468E-004  0.00000     
   0.19720E+06   0.00000       0.00000      0.136429E-004  0.00000     
   0.19767E+06   0.00000       0.00000     -0.125528E-003  0.00000     
   0.19813E+06   0.00000       0.00000     -0.344836E-003  0.00000     
   0.19860E+06   0.00000       0.00000      0.271879E-004  0.00000     
   0.19907E+06   0.00000       0.00000      0.100723E-004  0.00000     
   0.19953E+06   0.00000       0.00000      0.351697E-005  0.00000     
   0.20000E+06   0.00000       0.00000     -0.129328E-004  0.00000     
